"","subid","trial.num","item","item1","item2","word.type","image.type","choice.side","response","rt","date","time","gender","age","language"
"1","1",1,"ears.glasses","ears","glasses","and","and/noun","left","and",3520,"1/19/2016","12:04","M","35","English"
"2","1",2,"hands.lips","hands","lips","noun","or/noun","right","noun",3215,"1/19/2016","12:05","M","35","English"
"3","1",3,"hands.lips","hands","lips","noun","and/noun","left","noun",2446,"1/19/2016","12:05","M","35","English"
"4","1",4,"hair.lips","hair","lips","or","or/noun","right","or",5292,"1/19/2016","12:05","M","35","English"
"5","1",5,"ears.pants","ears","pants","or","and/or","right","or",9660,"1/19/2016","12:05","M","35","English"
"6","1",6,"hair.pants","hair","pants","noun","and/or","right","and",3106,"1/19/2016","12:05","M","35","English"
"7","1",7,"ears.hair","ears","hair","noun","or/noun","right","noun",1683,"1/19/2016","12:05","M","35","English"
"8","1",8,"glasses.hair","glasses","hair","and","or/noun","right","or",13527,"1/19/2016","12:05","M","35","English"
"9","1",9,"ears.pants","ears","pants","or","and/or","left","or",6143,"1/19/2016","12:05","M","35","English"
"10","1",10,"lips.pants","lips","pants","or","and/or","right","or",3893,"1/19/2016","12:05","M","35","English"
"11","1",11,"glasses.lips","glasses","lips","noun","and/noun","left","noun",3219,"1/19/2016","12:05","M","35","English"
"12","1",12,"hair.pants","hair","pants","or","and/noun","left","and",2907,"1/19/2016","12:06","M","35","English"
"13","1",13,"glasses.lips","glasses","lips","or","and/noun","right","and",2967,"1/19/2016","12:06","M","35","English"
"14","1",14,"hands.lips","hands","lips","and","and/noun","right","and",2181,"1/19/2016","12:06","M","35","English"
"15","1",15,"ears.glasses","ears","glasses","and","and/or","left","and",3038,"1/19/2016","12:06","M","35","English"
"16","1",16,"glasses.pants","glasses","pants","noun","and/or","right","and",2108,"1/19/2016","12:06","M","35","English"
"17","1",17,"hands.pants","hands","pants","or","and/noun","left","and",4010,"1/19/2016","12:06","M","35","English"
"18","1",18,"ears.lips","ears","lips","noun","and/or","right","and",5660,"1/19/2016","12:06","M","35","English"
"19","1",19,"ears.lips","ears","lips","noun","or/noun","right","noun",2115,"1/19/2016","12:06","M","35","English"
"20","1",20,"hair.hands","hair","hands","noun","or/noun","right","noun",2142,"1/19/2016","12:06","M","35","English"
"21","1",21,"lips.pants","lips","pants","and","and/or","right","and",3509,"1/19/2016","12:06","M","35","English"
"22","1",22,"lips.pants","lips","pants","or","or/noun","left","or",3321,"1/19/2016","12:06","M","35","English"
"23","1",23,"hair.pants","hair","pants","and","and/or","right","or",2314,"1/19/2016","12:06","M","35","English"
"24","1",24,"glasses.hair","glasses","hair","noun","and/or","left","and",4129,"1/19/2016","12:06","M","35","English"
"25","1",25,"hair.hands","hair","hands","and","and/noun","left","and",2849,"1/19/2016","12:06","M","35","English"
"26","1",26,"ears.glasses","ears","glasses","and","or/noun","left","or",2939,"1/19/2016","12:07","M","35","English"
"27","1",27,"glasses.pants","glasses","pants","and","or/noun","left","or",3353,"1/19/2016","12:07","M","35","English"
"28","1",28,"hair.lips","hair","lips","noun","and/noun","left","noun",9912,"1/19/2016","12:07","M","35","English"
"29","1",29,"ears.glasses","ears","glasses","and","and/noun","left","and",2808,"1/19/2016","12:07","M","35","English"
"30","1",30,"ears.hands","ears","hands","or","and/noun","left","and",2330,"1/19/2016","12:07","M","35","English"
"31","1",31,"glasses.pants","glasses","pants","or","or/noun","right","or",6529,"1/19/2016","12:07","M","35","English"
"32","1",32,"ears.hair","ears","hair","noun","and/noun","right","noun",2710,"1/19/2016","12:07","M","35","English"
"33","1",33,"hands.lips","hands","lips","and","or/noun","left","or",2940,"1/19/2016","12:07","M","35","English"
"34","1",34,"hair.pants","hair","pants","and","and/or","right","and",5955,"1/19/2016","12:07","M","35","English"
"35","1",35,"glasses.lips","glasses","lips","or","and/or","right","or",3274,"1/19/2016","12:07","M","35","English"
"36","1",36,"ears.hands","ears","hands","or","or/noun","left","or",2280,"1/19/2016","12:07","M","35","English"
"37","2",1,"glasses.lips","glasses","lips","noun","and/or","left","and",3519,"1/19/2016","12:49","M","35","English"
"38","2",2,"ears.lips","ears","lips","noun","and/or","left","and",1921,"1/19/2016","12:49","M","35","English"
"39","2",3,"glasses.pants","glasses","pants","or","or/noun","right","or",3231,"1/19/2016","12:49","M","35","English"
"40","2",4,"glasses.hair","glasses","hair","and","or/noun","left","or",5635,"1/19/2016","12:49","M","35","English"
"41","2",5,"ears.glasses","ears","glasses","and","and/noun","left","and",3257,"1/19/2016","12:49","M","35","English"
"42","2",6,"ears.lips","ears","lips","and","and/noun","right","and",2828,"1/19/2016","12:49","M","35","English"
"43","2",7,"hair.lips","hair","lips","noun","and/or","right","and",2405,"1/19/2016","12:49","M","35","English"
"44","2",8,"hair.pants","hair","pants","noun","and/noun","right","noun",1946,"1/19/2016","12:49","M","35","English"
"45","2",9,"ears.hands","ears","hands","or","and/noun","right","and",7185,"1/19/2016","12:49","M","35","English"
"46","2",10,"lips.pants","lips","pants","noun","or/noun","right","noun",2133,"1/19/2016","12:49","M","35","English"
"47","2",11,"glasses.pants","glasses","pants","and","and/or","right","and",3232,"1/19/2016","12:49","M","35","English"
"48","2",12,"glasses.hands","glasses","hands","noun","or/noun","right","noun",2926,"1/19/2016","12:49","M","35","English"
"49","2",13,"glasses.hands","glasses","hands","or","and/or","right","or",4828,"1/19/2016","12:50","M","35","English"
"50","2",14,"hands.pants","hands","pants","and","or/noun","right","or",4908,"1/19/2016","12:50","M","35","English"
"51","2",15,"hair.lips","hair","lips","and","and/or","right","and",3668,"1/19/2016","12:50","M","35","English"
"52","2",16,"glasses.hands","glasses","hands","and","or/noun","left","or",4184,"1/19/2016","12:50","M","35","English"
"53","2",17,"hands.pants","hands","pants","noun","and/noun","right","noun",2123,"1/19/2016","12:50","M","35","English"
"54","2",18,"ears.pants","ears","pants","or","and/noun","right","and",8125,"1/19/2016","12:50","M","35","English"
"55","2",19,"hands.pants","hands","pants","or","and/noun","right","and",3383,"1/19/2016","12:50","M","35","English"
"56","2",20,"hair.pants","hair","pants","and","or/noun","right","or",4642,"1/19/2016","12:50","M","35","English"
"57","2",21,"ears.lips","ears","lips","and","and/or","right","and",3962,"1/19/2016","12:50","M","35","English"
"58","2",22,"hands.lips","hands","lips","noun","or/noun","right","noun",3071,"1/19/2016","12:50","M","35","English"
"59","2",23,"ears.hair","ears","hair","or","and/or","right","or",4035,"1/19/2016","12:50","M","35","English"
"60","2",24,"hair.hands","hair","hands","or","and/or","left","or",3517,"1/19/2016","12:50","M","35","English"
"61","2",25,"hair.lips","hair","lips","or","and/noun","left","and",2259,"1/19/2016","12:51","M","35","English"
"62","2",26,"hair.lips","hair","lips","and","and/noun","left","and",3014,"1/19/2016","12:51","M","35","English"
"63","2",27,"ears.hair","ears","hair","and","and/or","right","and",3372,"1/19/2016","12:51","M","35","English"
"64","2",28,"ears.hands","ears","hands","or","or/noun","left","or",2702,"1/19/2016","12:51","M","35","English"
"65","2",29,"glasses.hair","glasses","hair","noun","and/noun","left","noun",2138,"1/19/2016","12:51","M","35","English"
"66","2",30,"ears.hair","ears","hair","or","and/or","right","or",3741,"1/19/2016","12:51","M","35","English"
"67","2",31,"hands.lips","hands","lips","or","or/noun","left","or",4119,"1/19/2016","12:51","M","35","English"
"68","2",32,"ears.pants","ears","pants","and","and/noun","left","and",3847,"1/19/2016","12:51","M","35","English"
"69","2",33,"ears.hair","ears","hair","noun","or/noun","left","noun",4957,"1/19/2016","12:51","M","35","English"
"70","2",34,"glasses.lips","glasses","lips","or","or/noun","right","or",3001,"1/19/2016","12:51","M","35","English"
"71","2",35,"hair.hands","hair","hands","noun","and/noun","left","noun",4575,"1/19/2016","12:51","M","35","English"
"72","2",36,"lips.pants","lips","pants","noun","and/or","left","and",3105,"1/19/2016","12:51","M","35","English"
"73","3",1,"hands.pants","hands","pants","and","and/or","right","and",3469,"1/19/2016","12:15","F","35","English"
"74","3",2,"hair.lips","hair","lips","or","and/noun","right","and",7509,"1/19/2016","12:15","F","35","English"
"75","3",3,"glasses.pants","glasses","pants","noun","or/noun","right","noun",2058,"1/19/2016","12:15","F","35","English"
"76","3",4,"glasses.lips","glasses","lips","or","or/noun","left","or",8211,"1/19/2016","12:15","F","35","English"
"77","3",5,"hands.pants","hands","pants","or","or/noun","right","or",2859,"1/19/2016","12:16","F","35","English"
"78","3",6,"glasses.lips","glasses","lips","noun","or/noun","right","noun",1803,"1/19/2016","12:16","F","35","English"
"79","3",7,"ears.pants","ears","pants","noun","and/noun","right","noun",2390,"1/19/2016","12:16","F","35","English"
"80","3",8,"glasses.hair","glasses","hair","and","or/noun","left","or",2758,"1/19/2016","12:16","F","35","English"
"81","3",9,"glasses.hands","glasses","hands","noun","and/noun","right","noun",3034,"1/19/2016","12:16","F","35","English"
"82","3",10,"glasses.pants","glasses","pants","and","and/noun","right","and",1779,"1/19/2016","12:16","F","35","English"
"83","3",11,"ears.hands","ears","hands","or","and/or","left","or",2604,"1/19/2016","12:16","F","35","English"
"84","3",12,"ears.hair","ears","hair","and","and/noun","left","and",1918,"1/19/2016","12:16","F","35","English"
"85","3",13,"ears.lips","ears","lips","or","or/noun","right","or",2253,"1/19/2016","12:16","F","35","English"
"86","3",14,"glasses.hands","glasses","hands","and","and/noun","right","and",2096,"1/19/2016","12:16","F","35","English"
"87","3",15,"hands.lips","hands","lips","noun","or/noun","left","noun",2252,"1/19/2016","12:16","F","35","English"
"88","3",16,"ears.glasses","ears","glasses","or","and/noun","left","noun",5765,"1/19/2016","12:16","F","35","English"
"89","3",17,"lips.pants","lips","pants","or","and/or","right","or",2079,"1/19/2016","12:16","F","35","English"
"90","3",18,"hair.hands","hair","hands","or","and/or","right","or",2112,"1/19/2016","12:16","F","35","English"
"91","3",19,"glasses.hands","glasses","hands","and","or/noun","left","or",6397,"1/19/2016","12:16","F","35","English"
"92","3",20,"glasses.pants","glasses","pants","and","and/or","left","and",2419,"1/19/2016","12:17","F","35","English"
"93","3",21,"hair.lips","hair","lips","noun","and/or","left","and",2108,"1/19/2016","12:17","F","35","English"
"94","3",22,"glasses.lips","glasses","lips","noun","and/noun","right","noun",2727,"1/19/2016","12:17","F","35","English"
"95","3",23,"glasses.hands","glasses","hands","and","or/noun","right","or",2044,"1/19/2016","12:17","F","35","English"
"96","3",24,"lips.pants","lips","pants","or","and/or","left","or",2909,"1/19/2016","12:17","F","35","English"
"97","3",25,"ears.hands","ears","hands","noun","or/noun","right","noun",1865,"1/19/2016","12:17","F","35","English"
"98","3",26,"ears.glasses","ears","glasses","noun","and/or","right","and",2667,"1/19/2016","12:17","F","35","English"
"99","3",27,"ears.pants","ears","pants","and","or/noun","left","or",2153,"1/19/2016","12:17","F","35","English"
"100","3",28,"glasses.hair","glasses","hair","and","and/noun","left","and",3126,"1/19/2016","12:17","F","35","English"
"101","3",29,"hair.hands","hair","hands","or","and/noun","left","noun",3401,"1/19/2016","12:17","F","35","English"
"102","3",30,"hair.lips","hair","lips","or","or/noun","right","or",1849,"1/19/2016","12:17","F","35","English"
"103","3",31,"glasses.lips","glasses","lips","noun","and/noun","right","noun",2117,"1/19/2016","12:17","F","35","English"
"104","3",32,"ears.hands","ears","hands","noun","and/or","right","and",1925,"1/19/2016","12:17","F","35","English"
"105","3",33,"lips.pants","lips","pants","noun","and/or","right","or",1653,"1/19/2016","12:17","F","35","English"
